state,lawtotal
Alabama,10
Alaska,4
Arizona,11
Arkansas,11
California,104
Colorado,30
Connecticut,89
Delaware,39
Florida,21
Georgia,6
Hawaii,78
Idaho,4
Illinois,64
Indiana,12
Iowa,25
Kansas,7
Kentucky,7
Louisiana,12
Maine,12
Maryland,64
Massachusetts,100
Michigan,21
Minnesota,41
Mississippi,5
Missouri,7
Montana,4
Nebraska,22
Nevada,15
New Hampshire,10
New Jersey,67
New Mexico,10
New York,75
North Carolina,30
North Dakota,14
Ohio,16
Oklahoma,9
Oregon,35
Pennsylvania,36
Rhode Island,43
South Carolina,12
South Dakota,5
Tennessee,22
Texas,18
Utah,11
Vermont,6
Virginia,13
Washington,43
West Virginia,21
Wisconsin,23
Wyoming,9
